name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
OhioHealth Chiller North,8144 Highfield Dr,Lewis Center,OH,40.1688,-83.0156,NHL,True,,https://www.thechiller.com,"3 NHL Sheets, Concessions, Locker Rooms",,,,,,,
OhioHealth Chiller Dublin,7001 Dublin Park Drive,Dublin,OH,40.1006,-83.1874,NHL,True,(614) 764-1000,https://www.thechiller.com,"Pro Shop, Locker Rooms, Concessions",,,,,,,
Serpentini Arena at Winterhurst,14740 Lakewood Heights Blvd,Lakewood,OH,41.4703,-81.7983,NHL,True,(216) 529-4400,https://www.winterhurstice.com,"2 NHL Sheets, Pro Shop, Locker Rooms",8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM
Cleveland Skating Club,2500 Kemper Rd,Shaker Heights,OH,41.4911,-81.5903,NHL,False,(216) 791-2800,https://clevelandskatingclub.org,"Pro Shop, Locker Rooms, Restaurant",6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM
Kent State Ice Arena,650 Loop Road,Kent,OH,41.1457,-81.3360,NHL,True,(330) 672-7465,https://www.kent.edu/recwell/ice-arena,"Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
Queen City Sportsplex,10765 Reading Rd,Cincinnati,OH,39.2633,-84.4191,NHL,True,(513) 769-1010,https://www.sportsplusohio.com,"2 NHL Sheets, Locker Rooms, Concessions",4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM
Center Ice Sports Complex,8319 Port Jackson Ave NW,North Canton,OH,40.9009,-81.4470,NHL,True,(330) 966-0169,https://www.centericesports.com,"Locker Rooms, Concessions",11:00 AM - 11:30 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,9:00 AM - 11:00 PM,9:00 AM - 10:00 PM
Sylvania Tam-O-Shanter,7060 W Sylvania Ave,Sylvania,OH,41.6885,-83.7253,NHL,True,(419) 461-1613,https://sylvaniatamoshanter.com,"2 Sheets, Pro Shop, Restaurant",,,,,,,
OhioHealth Ice Haus,200 W Nationwide Blvd,Columbus,OH,39.9692,-83.0088,NHL,True,(614) 246-3380,https://www.arenadistrict.com/listing/ohiohealth-ice-haus/,"Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
