name,address,city,state,lat,lng,type,isPublic,phone,website,amenities,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
Gutterson Fieldhouse,97 Spear Street,Burlington,VT,44.4718,-73.1935,NHL,True,(802) 656-3074,https://uvmathletics.com,Locker Rooms,Varies,Varies,Varies,Varies,Varies,Varies,Varies
Leddy Park Arena,216 Leddy Park Road,Burlington,VT,44.5028,-73.2534,NHL,True,(802) 865-7558,https://www.burlingtonvt.gov/1092/Ice-Skating,"Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
C. Douglas Cairns Recreation Arena,600 Swift St,South Burlington,VT,44.4471,-73.1750,NHL,True,(802) 658-5577,https://www.cairnsarena.com,"2 NHL Sheets, Locker Rooms",6:00 AM - 11:30 PM,6:00 AM - 11:30 PM,6:00 AM - 11:30 PM,6:00 AM - 11:30 PM,6:00 AM - 11:30 PM,6:00 AM - 10:30 PM,8:00 AM - 11:30 PM
BOR Ice Arena,25 Auditorium Hill,Barre,VT,44.2035,-72.5026,STANDARD,True,(802) 476-0257,https://www.barrecity.org/bor.html,Locker Rooms,,,,,,,
Giorgetti Athletic Complex,2 Oak Street Extension,Rutland,VT,43.6169,-72.9912,STANDARD,True,(802) 775-7976,https://www.rutlandrec.com/icearena,Locker Rooms,,,,,,,
Stowe Arena,350 Park St,Stowe,VT,44.4610,-72.6850,NHL,True,(802) 253-3721,https://www.stowevt.gov/Departments/Parks-Recreation/Stowe-Arena,"Locker Rooms, Concessions",Varies,Varies,Varies,Varies,Varies,Varies,Varies
